기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,총_유동인구_수,2030비율,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,주말_유동인구_수,야간_유동인구_수,전체유동점수,2030핫플점수,주말점수,야간점수,핫플점수
2025,1,3110819,신대방역 4번,904834.0,37.13531984872363,149958.0,119130.0,125890.0,133384.0,137448.0,270832.0,269088.0,66.71982140009568,69.38287354488916,68.87258810397066,67.11848190081326,68.00908945941636
2025,1,3110820,성남고등학교,815490.0,35.29816429386013,114427.0,116272.0,114070.0,120806.0,127601.0,248407.0,230699.0,62.956466273321645,63.88135863498644,65.61951841811513,61.696699091054064,63.577579333439644
2025,1,3110821,보라매역 2번,1534450.0,35.08429730522337,233227.0,205648.0,214348.0,222381.0,234087.0,456468.0,438875.0,85.23361505342051,63.25944825386701,86.5252750757455,84.21304417158349,78.7466113857439
2025,1,3110822,신대방삼거리역 4번(대림초등학교),678783.0,36.66620996695556,78149.0,91590.0,95023.0,97910.0,100497.0,198407.0,169739.0,55.955987880720784,68.05932068250678,57.31143358316058,49.86445542975602,58.944346994099824
2025,1,3110823,신대방삼거리역 3번,841560.0,37.244522078045534,144137.0,106576.0,117606.0,122832.0,127558.0,250390.0,250713.0,63.929197895072555,69.74964120554935,65.81087545845958,64.80625099665124,66.1832243661298
2025,1,3110824,대방역 3번,185610.0,29.34109153601638,35376.0,21518.0,28181.0,24853.0,23237.0,48090.0,56894.0,18.992186254185935,40.67931749322277,17.39754425131558,19.358953914846115,25.23441237442194
2025,1,3110825,신대방삼거리역 1번,2197092.0,36.02871431874496,317891.0,313312.0,302995.0,329524.0,341577.0,671101.0,631203.0,93.86062828894913,66.20953595917717,94.83335991070004,93.25466432785839,85.66895232020411
2025,1,3110826,장승배기역 4번,455824.0,32.85500544069641,89535.0,57004.0,64552.0,68979.0,68605.0,137584.0,146539.0,41.73178121511721,55.55732738000319,44.203476319566256,45.09647584117366,46.87848827938128
2025,1,3110827,NH농협은행 상도동지점,713935.0,34.89449319615932,110596.0,89921.0,99114.0,105842.0,110895.0,216737.0,200517.0,57.80577260405039,62.525912932546646,61.106681549992025,56.051666400893,59.61888056131398
2025,1,3110828,노량진역 6번,1793363.0,42.73317783404698,305651.0,226458.0,259811.0,256216.0,245996.0,502212.0,532109.0,89.45941636102694,82.9532769893159,89.2202200605964,89.6507734013714,87.48843884547918
2025,1,3110829,장승배기역 5번,555436.0,34.87206446827357,73370.0,73326.0,77836.0,80117.0,83294.0,163411.0,146696.0,48.63658108754584,62.43023441237442,50.358794450645824,45.12836868123106,52.5928878966672
2025,1,3110830,상도초등학교,777886.0,28.718089797219644,111803.0,106943.0,109510.0,113139.0,115607.0,228746.0,218746.0,60.88343166959018,37.474087067453354,62.669430712804974,59.59177164726519,54.02407909424335
2025,1,3110831,상도4동주민센터,684985.0,30.284166806572404,93741.0,93849.0,95855.0,98901.0,102549.0,201450.0,187590.0,56.386541221495776,44.76160102057088,57.917397544251315,53.165364375697656,52.72205389889969
2025,1,3110832,노량진초등학교,534522.0,62.02120773326448,99319.0,64611.0,77495.0,77952.0,73599.0,151551.0,163930.0,47.12167118481901,98.85185775793335,47.552224525594006,48.79604528783288,62.97799394036039
2025,1,3110833,상도역 2번,549398.0,30.51230619696468,93730.0,81507.0,79540.0,77839.0,78657.0,156496.0,175237.0,48.17413490671345,45.702439802264394,48.81199170786159,50.83718705150694,47.95965555732737
2025,1,3110834,동작구자원봉사센터,168105.0,42.764938580054135,23331.0,22273.0,23470.0,25071.0,26416.0,51487.0,45604.0,17.206187210971137,83.01706266943071,18.593525753468345,16.137777069048,37.06665603571998
2025,1,3110835,상도역 1번,187370.0,41.76869296045258,41048.0,22614.0,27807.0,28232.0,26456.0,54688.0,63662.0,19.119757614415565,81.1991707861585,19.91707861585074,21.719024079094243,38.29293573592728
2025,1,3110836,상도역 5번,1550661.0,42.16943613078551,249766.0,201535.0,217695.0,232091.0,238491.0,470582.0,451301.0,85.55254345399457,82.09217030776591,87.48206027746771,84.91468665284644,84.80465635464839
2025,1,3110837,숭실대입구역 1번,1481495.0,39.85069136244132,272243.0,190754.0,207386.0,221438.0,224067.0,445505.0,462997.0,84.10141923138255,76.84579811832243,85.90336469462606,85.6003827140807,82.50996651251793
2025,1,3110838,상도1동주민센터앞,132874.0,35.38389752698045,22377.0,16252.0,18459.0,19588.0,20079.0,39667.0,38629.0,14.30393876574709,64.26407271567534,14.957741986923937,14.240153085632276,29.41317174294371
2025,1,3110839,숭실대입구역 4번,968824.0,39.73177790806173,155926.0,121793.0,136821.0,138644.0,141733.0,280377.0,277719.0,69.43071280497529,76.59065539786319,70.05262318609472,68.28257056290863,71.53085632275554
2025,1,3110840,중앙대학교,1247712.0,46.9791105639763,202582.0,155688.0,183744.0,163020.0,161239.0,324259.0,358270.0,77.94610110030298,90.1132195822038,74.58140647424653,76.52686971774837,80.71041301227874
2025,1,3110842,흑리단길,157581.0,28.56562656665461,33658.0,18059.0,23304.0,23403.0,21361.0,44764.0,51717.0,16.265348429277626,36.67676606601818,16.456705469622072,17.971615372348907,22.682985169829372
2025,1,3110843,사당5동주민센터,550112.0,31.29090076202664,93556.0,69131.0,75241.0,81623.0,84456.0,166079.0,162687.0,48.26981342688567,48.90767022803381,50.83718705150694,48.493063307287514,49.00813267421464
2025,1,3110845,사당종합체육관,446940.0,23.99785206067929,56680.0,62884.0,61455.0,64147.0,66241.0,130388.0,119564.0,41.10987083399777,13.745814064742465,42.49720937649498,38.502631159304734,32.787035560516664
2025,1,3110846,남성역 1번,2587681.0,33.97404857863083,435474.0,351687.0,362893.0,381583.0,384808.0,766391.0,787161.0,96.02934141285282,59.38446818689205,96.39610907351299,95.9496093127093,85.09727316217509
2025,1,3110847,예술인마을,772836.0,33.36529354222629,115021.0,109235.0,106227.0,115293.0,120503.0,235796.0,224256.0,60.62828894913091,57.4390049433902,63.76973369478552,60.5485568489874,60.28783288151809
2025,1,3110848,양지어린이공원,1356809.0,38.238027607423,209363.0,182944.0,189177.0,200973.0,214100.0,415073.0,392307.0,80.91213522564185,73.050550151491,83.68681231063626,80.51347472492425,79.04879604528784
2025,1,3110849,이수역 10번,1880763.0,31.675601870092084,304779.0,263810.0,264824.0,279408.0,285617.0,565025.0,568589.0,90.71918354329453,50.70961569127731,92.47328974645193,91.13379046404081,79.12932546643277
