상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드_명,행정동_코드_명,경도,위도
3110104,신금호역 4번,201782,450233,성동구,금호2?3가동,127.02016645992701,37.55161558009325
3110108,성동구립금호도서관,202208,450534,성동구,금호1가동,127.02498830324593,37.55432666209703
3110109,금호삼성래미안아파트,202316,450083,성동구,금호1가동,127.02620913408614,37.55026289597211
3110129,성원어린이공원,204438,450088,성동구,성수1가2동,127.05022288091031,37.550300173836135
3110130,답십리역 6번,204631,451780,성동구,용답동,127.05241765359236,37.56554409202081
3110131,성수동카페거리,204716,449234,성동구,성수2가1동,127.05336339732489,37.54260426552024
3110132,성수2가3동주민센터,204767,449989,성동구,성수2가3동,127.05394538390803,37.54940654342987
3110136,경수초등학교,205299,449009,성동구,성수2가1동,127.05995864535373,37.540573851759774
3110105,금동어린이공원,202076,449956,성동구,금호2?3가동,127.02349280272007,37.549119199553864
3110106,금북초등학교,202140,450763,성동구,금호1가동,127.02421940373985,37.55639010690916
3110107,금호사거리,202203,449734,성동구,금호4가동,127.02492931657964,37.5471186877979
3110112,행당역 2번,202776,451078,성동구,행당1동,127.03141851074179,37.559226552054376
3110113,응봉산,202786,449918,성동구,응봉동,127.03152728660245,37.54877494821614
3110114,왕십리파출소,202776,451985,성동구,왕십리도선동,127.03142194280784,37.56739858855162
3110133,서울교통공사,205004,451461,성동구,용답동,127.05663741161975,37.56266796519802
3110134,성수119안전센터,205062,448509,성동구,성수2가1동,127.05727352526394,37.536070183843606
3110135,성동세무서,205254,449984,성동구,송정동,127.0594564430696,37.549358847126776
3110115,상왕십리역 3번,202799,451762,성동구,왕십리도선동,127.03168143212821,37.56538929826772
3110116,청계천박물관,203093,452318,성동구,마장동,127.03501151510875,37.57039789376655
3110117,성동구보건소,203124,451949,성동구,마장동,127.03536085082358,37.567073116003144
3110118,왕십리역 9번,203170,450924,성동구,행당1동,127.03587710019502,37.55783774584384
3110119,마장지하차도,203308,451914,성동구,마장동,127.03744340594395,37.5667571253321
3110120,서울숲카페거리,203629,449746,성동구,성수1가2동,127.04106609796341,37.54722229826109
3110121,한양대역 4번,203699,450806,성동구,사근동,127.04186356587266,37.55677259819984
3110122,마장역 2번,203900,452033,성동구,마장동,127.04414491255056,37.56782699467488
3110123,마장역 3번,203977,451906,성동구,마장동,127.04501580273998,37.56668240119376
3110124,뚝섬역교차로,204001,450061,성동구,성수1가2동,127.04527739974368,37.5500589042001
3110125,사근동살곶이상점가,204116,451277,성동구,사근동,127.04658561903601,37.56101452557501
3110126,서울숲역 1번,204113,449554,성동구,성수1가1동,127.04654200941053,37.54549034888927
3110127,성수1가1동주민센터,204367,449119,성동구,성수1가1동,127.0494136424359,37.54156983482148
3110128,성원중학교,204412,448741,성동구,성수1가1동,127.04992055728603,37.53816384184272
3110157,자양동우체국,207135,447836,광진구,자양2동,127.08072173589979,37.52999274825613
3110158,중곡3동주민센터,207154,452135,광진구,중곡3동,127.08097858537985,37.56872649117577
3110159,구의역 4번,207146,448388,광진구,자양1동,127.0808515528512,37.534966184561476
