상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,평균_점포_수,평균_점포당_월매출,평균_총_유동인구,평균_2030비율,평균_폐업비율,평균_창업추천점수,추천순위
3110229,장평중학교,CS200028,미용실,14.25,1631223.4623015872,1568275.25,29.80854675735341,1.7857142857142856,39.82964275169766,14917
3110510,홍연시장,CS100001,한식음식점,8.25,7625930.708333334,821532.75,28.17818837509686,5.902777777777778,39.82709625036905,14918
3110261,사가정역 4번,CS100008,분식전문점,6.25,2419001.0654761903,1440446.25,28.571018044196528,3.571428571428571,39.82558311189844,14919
3130139,강북종합전통시장(강북종합골목시장),CS200037,노래방,37.5,6689490.355144618,637179.0,32.74276360709524,2.6493598862019914,39.81913197519929,14920
3110553,가좌역 2번,CS300009,청과상,3.0,2705506.5185185187,938965.3333333334,31.857811346439167,0.0,39.81569727389037,14921
3110711,구로초등학교,CS200001,일반교습학원,5.0,3225320.15,1246970.25,26.647360226518934,0.0,39.814371124889284,14922
3110763,영등포구청역 2번,CS200028,미용실,7.0,2324001.523809524,547736.5,40.45878865567681,0.0,39.81068054325362,14923
3110341,북한산우이역 2번,CS300011,일반의류,14.5,20805665.30555556,257285.75,26.37676729705552,5.119047619047619,39.80834071449661,14924
3120166,방배역,CS200002,외국어학원,9.0,1784785.1203703703,1116562.25,32.29951284342217,0.0,39.803734868615294,14925
3110579,마포역 4번,CS100001,한식음식점,6.25,11506878.126984127,328981.0,33.61320517361434,12.499999999999998,39.80324771183939,14926
3110750,시흥4동주민센터(서울신흥초등학교),CS100001,한식음식점,18.25,15017871.849122807,684379.25,23.75319313851477,9.9187306501548,39.8031665190434,14927
3110586,서울서부지방법원,CS200034,여관,4.0,134500.5625,1913854.5,32.59097085760014,0.0,39.79946855624446,14928
3120023,서울시청,CS300022,화장품,8.0,2936445.4791666665,522697.5,40.68751343118707,0.0,39.79740183052849,14929
3110965,언주역 6번,CS300022,화장품,3.6666666666666665,259259.25925925924,827474.0,50.02593672299658,0.0,39.794537939179214,14930
3130185,망원월드컵시장,CS100008,분식전문점,3.0,8988568.833333332,209336.75,34.00454004867137,0.0,39.79450841452613,14931
3120146,한강성심병원,CS100009,호프-간이주점,4.75,1887785.6,488268.25,53.16612984211832,6.25,39.79260407440213,14932
3120057,아차산역,CS200028,미용실,18.25,3151136.658138402,1228651.5,30.697941385191633,4.166666666666666,39.79148951874815,14933
3111052,암사역 3번(천호동자전거거리),CS100003,일식음식점,3.75,3061815.159722222,1195375.25,29.776921930505246,8.333333333333332,39.78990256864482,14934
3110883,은천초등학교(은천교앞),CS100001,한식음식점,18.5,1136633.0170278638,1185703.0,42.54250194549539,4.102167182662538,39.78647032772365,14935
3130051,동화동 골목형상점가,CS200001,일반교습학원,3.5,1252113.2916666667,1468016.0,30.220945241368803,0.0,39.7837023914969,14936
3110240,태릉시장 특화거리,CS200037,노래방,6.0,6818953.916666666,621014.0,27.282221745475205,0.0,39.78257307351639,14937
3120084,공릉역,CS100003,일식음식점,9.25,3053968.1537037035,533264.0,37.42682401230992,0.0,39.779930617065254,14938
3120166,방배역,CS300011,일반의류,28.75,2912112.0893883416,1116562.25,32.29951284342217,1.7549261083743841,39.776262178919396,14939
3130109,묵1동도깨비시장,CS100003,일식음식점,3.0,14740071.666666666,96342.0,29.539973428326554,16.666666666666664,39.774704753469145,14940
3110690,오류2동버들시장,CS100010,커피-음료,4.0,1644747.6458333333,1348327.5,32.570640459083265,6.25,39.77282993799823,14941
3110473,구산역 1번,CS200003,예술학원,8.25,1785081.9583333335,1690769.5,28.4999412852941,3.125,39.7695674638323,14942
3110410,방학역 2번,CS300007,육류판매,4.0,7683254.25,569683.5,26.802416789202688,0.0,39.768585769117216,14943
3110170,동대부여고,CS200016,당구장,4.5,117254.70000000001,2108369.5,37.33888444832792,12.5,39.76433421907292,14944
3110390,방학초등학교,CS200003,예술학원,6.5,13139844.708333334,495067.5,21.234839362256732,0.0,39.762924416888104,14945
3110600,신월7동주민센터,CS200001,일반교습학원,3.75,16141084.923611112,428980.25,23.383203296888052,8.333333333333332,39.76267345733688,14946
3110387,쌍문초등학교,CS100001,한식음식점,13.75,4647162.952686203,1369367.5,25.437098033901677,3.708791208791209,39.76035577206967,14947
3130290,영림시장,CS300031,가구,4.0,2067772.3333333333,437094.3333333333,45.91694087499267,0.0,39.759275661844306,14948
