기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,객단가,점포당_분기매출,점포당_월매출,폐업비율,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구_수,2030비율,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200008,한의원,3874175850,40567,24,0,0,0,95500.67419330984,161423993.75,53807997.916666664,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300019,의료기기,351000000,1373,11,0,0,0,255644.57392571014,31909090.90909091,10636363.636363637,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200017,골프연습장,581529619,6354,9,0,0,0,91521.81602140384,64614402.11111111,21538134.037037037,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100009,호프-간이주점,7164787730,197154,72,2,3,8,36341.07210606937,99510940.69444445,33170313.564814817,4.166666666666666,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300016,안경,10244156508,56223,127,2,2,15,182205.79670241717,80662649.66929133,26887549.889763776,1.574803149606299,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200034,여관,11571687852,37453,61,3,0,2,308965.57957973995,189699800.852459,63233266.95081967,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300008,수산물판매,325118992,810,42,0,2,0,401381.47160493827,7740928.380952381,2580309.4603174604,4.761904761904762,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200003,예술학원,87000000,550,7,0,0,0,158181.81818181818,12428571.42857143,4142857.142857143,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100008,분식전문점,5864948736,606847,157,6,5,19,9664.62508012728,37356361.37579618,12452120.458598725,3.1847133757961785,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100010,커피-음료,21067226972,2503825,239,9,5,108,8414.017342266332,88147393.18828452,29382464.39609484,2.092050209205021,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300002,편의점,16034124142,2222993,29,0,1,71,7212.854085460458,552900832.4827586,184300277.4942529,3.4482758620689653,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200006,일반의원,9676023019,190608,121,7,1,0,50763.99216717032,79967132.38842975,26655710.79614325,0.8264462809917356,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200005,스포츠 강습,212191086,350,17,2,0,2,606260.2457142858,12481828.588235294,4160609.529411765,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200030,피부관리실,713910260,4512,63,4,2,2,158224.79166666666,11331908.888888888,3777302.9629629627,3.1746031746031744,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300022,화장품,26544067582,389710,339,10,11,62,68112.35940057992,78301084.31268437,26100361.437561456,3.2448377581120944,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300011,일반의류,48423285313,674481,2883,22,70,2,71793.40161249909,16796144.749566425,5598714.916522142,2.428026361429067,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300043,전자상거래업,11949393,176,42,0,4,0,67894.27840909091,284509.35714285716,94836.45238095238,9.523809523809524,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200037,노래방,113772252,6106,11,0,0,0,18632.861447756306,10342932.0,3447644.0,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200016,당구장,311959808,13252,20,2,2,0,23540.583157259283,15597990.4,5199330.133333334,10.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100005,제과점,3678449158,319903,57,1,3,16,11498.639143740445,64534195.75438596,21511398.584795322,5.263157894736842,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300009,청과상,12374836153,587660,39,0,0,0,21057.81600415206,317303491.1025641,105767830.36752136,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300032,가전제품,941557994,1224,56,0,0,0,769246.727124183,16813535.60714286,5604511.869047619,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300020,서적,316122390,12158,38,0,0,1,26001.18358282612,8319010.263157895,2773003.4210526315,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200028,미용실,2167986026,23610,56,0,1,26,91824.905802626,38714036.178571425,12904678.726190476,1.7857142857142856,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300010,반찬가게,19135609204,541968,109,1,1,6,35307.636620612284,175556047.74311927,58518682.58103976,0.9174311926605505,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300028,화초,3027546030,46342,38,2,1,0,65330.4999784213,79672263.94736843,26557421.315789476,2.631578947368421,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300017,시계및귀금속,28409950776,24159,242,0,7,0,1175957.2323357754,117396490.80991736,39132163.60330579,2.8925619834710745,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300015,가방,3301402242,88863,270,7,5,2,37151.5956247257,12227415.711111112,4075805.237037037,1.8518518518518516,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300021,문구,4646574486,98581,53,0,0,6,47134.58461569674,87671216.71698113,29223738.905660376,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300018,의약품,11989836610,732176,65,0,0,2,16375.620902624505,184459024.76923078,61486341.58974359,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300033,철물점,6294840,294,6,0,0,0,21411.020408163266,1049140.0,349713.3333333333,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300027,섬유제품,764844394,5920,71,1,1,0,129196.68817567568,10772456.253521128,3590818.751173709,1.4084507042253522,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300001,슈퍼마켓,15408644714,1181115,163,6,2,16,13045.846267298273,94531562.66257669,31510520.887525562,1.2269938650306749,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100007,치킨전문점,2228939948,39838,9,2,0,20,55950.096591194335,247659994.2222222,82553331.4074074,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300004,핸드폰,291486406,16408,29,0,1,0,17764.89553876158,10051255.379310345,3350418.459770115,3.4482758620689653,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300014,신발,6319433738,86635,259,0,3,5,72943.19545218445,24399358.06177606,8133119.353925354,1.1583011583011582,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200002,외국어학원,374263078,759,12,0,0,0,493100.23451910407,31188589.833333332,10396196.61111111,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300024,운동/경기용품,737600548,8575,29,0,0,0,86017.5566180758,25434501.655172415,8478167.218390806,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001493,동대문패션타운 관광특구,CS300001,슈퍼마켓,3303918462,450895,71,1,1,10,7327.467507956398,46534062.84507042,15511354.281690141,1.4084507042253522,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS300004,핸드폰,3166062742,199494,64,0,1,0,15870.465988952048,49469730.34375,16489910.114583334,1.5625,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS100004,양식음식점,2444915041,65877,39,1,0,10,37113.33304491704,62690129.256410256,20896709.752136752,0.0,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS300015,가방,90519160,2118,94,2,2,0,42738.03588290841,962969.7872340425,320989.92907801416,2.127659574468085,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS100007,치킨전문점,86069366,1758,5,0,0,10,48958.68373151308,17213873.2,5737957.733333333,0.0,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS300033,철물점,684702432,10379,3,0,1,0,65969.98092301763,228234144.0,76078048.0,33.33333333333333,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS100006,패스트푸드점,1259893424,128493,13,0,0,13,9805.152218408784,96914878.76923077,32304959.589743588,0.0,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS300028,화초,24037293,735,3,0,0,0,32703.8,8012431.0,2670810.3333333335,0.0,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
2025,1,3001493,동대문패션타운 관광특구,CS300021,문구,119956529,2791,14,0,0,1,42979.76675026872,8568323.5,2856107.8333333335,0.0,3304504.0,630426.0,751683.0,1382109.0,41.82500611286898,637103.0,392709.0,504092.0,385614.0,371573.0
